,ALDER,KOMGRP,TID,INDHOLD
251,20-24 år,Faxe,2024,1615
252,20-24 år,Guldborgsund,2024,2575
253,20-24 år,Holbæk,2024,3601
254,20-24 år,Kalundborg,2024,2180
255,20-24 år,Lolland,2024,1466
256,20-24 år,Næstved,2024,4454
257,20-24 år,Odsherred,2024,1228
258,20-24 år,Ringsted,2024,1939
259,20-24 år,Slagelse,2024,4613
260,20-24 år,Sorø,2024,1202
261,20-24 år,Stevns,2024,833
262,20-24 år,Vordingborg,2024,1959
263,20-24 år,Assens,2024,1600
264,20-24 år,Faaborg-Midtfyn,2024,1973
265,20-24 år,Kerteminde,2024,907
266,20-24 år,Langeland,2024,386
267,20-24 år,Middelfart,2024,1527
268,20-24 år,Nordfyns,2024,1078
269,20-24 år,Nyborg,2024,1364
270,20-24 år,Odense,2024,20621
271,20-24 år,Svendborg,2024,2847
272,20-24 år,Ærø,2024,172
273,20-24 år,Billund,2024,1296
274,20-24 år,Esbjerg,2024,6464
275,20-24 år,Fanø,2024,67
276,20-24 år,Fredericia,2024,2723
277,20-24 år,Haderslev,2024,2713
278,20-24 år,Kolding,2024,5596
279,20-24 år,Sønderborg,2024,3732
280,20-24 år,Tønder,2024,1545
281,20-24 år,Varde,2024,2169
282,20-24 år,Vejen,2024,1966
283,20-24 år,Vejle,2024,6355
284,20-24 år,Aabenraa,2024,2616
285,20-24 år,Favrskov,2024,1909
286,20-24 år,Hedensted,2024,2018
287,20-24 år,Horsens,2024,5786
288,20-24 år,Norddjurs,2024,1680
289,20-24 år,Odder,2024,979
290,20-24 år,Randers,2024,5339
291,20-24 år,Samsø,2024,85
292,20-24 år,Silkeborg,2024,4694
293,20-24 år,Skanderborg,2024,2421
294,20-24 år,Syddjurs,2024,1627
295,20-24 år,Aarhus,2024,47300
296,20-24 år,Herning,2024,4949
297,20-24 år,Holstebro,2024,3452
298,20-24 år,Ikast-Brande,2024,1984
299,20-24 år,Lemvig,2024,858
300,20-24 år,Ringkøbing-Skjern,2024,2611
301,20-24 år,Skive,2024,2106
302,20-24 år,Struer,2024,888
303,20-24 år,Viborg,2024,4877
304,20-24 år,Brønderslev,2024,1442
305,20-24 år,Frederikshavn,2024,2231
306,20-24 år,Hjørring,2024,2871
307,20-24 år,Jammerbugt,2024,1474
308,20-24 år,Læsø,2024,43
309,20-24 år,Mariagerfjord,2024,1702
310,20-24 år,Morsø,2024,848
311,20-24 år,Rebild,2024,1027
312,20-24 år,Thisted,2024,1937
313,20-24 år,Vesthimmerlands,2024,1537
314,20-24 år,Aalborg,2024,21925
315,25-29 år,Hele landet,2024,409126
316,25-29 år,Hovedstadskommuner,2024,151827
317,25-29 år,Storbykommuner,2024,92441
318,25-29 år,Provinsbykommuner,2024,75591
319,25-29 år,Oplandskommuner,2024,38468
320,25-29 år,Landkommuner,2024,50799
321,25-29 år,København,2024,92810
322,25-29 år,Frederiksberg,2024,11731
323,25-29 år,Dragør,2024,244
324,25-29 år,Tårnby,2024,1773
325,25-29 år,Albertslund,2024,1814
326,25-29 år,Ballerup,2024,3065
327,25-29 år,Brøndby,2024,3012
328,25-29 år,Gentofte,2024,3146
329,25-29 år,Gladsaxe,2024,4582
330,25-29 år,Glostrup,2024,1679
331,25-29 år,Herlev,2024,1876
332,25-29 år,Hvidovre,2024,3070
333,25-29 år,Høje-Taastrup,2024,4581
334,25-29 år,Ishøj,2024,1720
335,25-29 år,Lyngby-Taarbæk,2024,3938
336,25-29 år,Rødovre,2024,2839
337,25-29 år,Vallensbæk,2024,996
338,25-29 år,Allerød,2024,606
339,25-29 år,Egedal,2024,1554
340,25-29 år,Fredensborg,2024,1455
341,25-29 år,Frederikssund,2024,1857
342,25-29 år,Furesø,2024,1142
343,25-29 år,Gribskov,2024,1445
344,25-29 år,Halsnæs,2024,1154
345,25-29 år,Helsingør,2024,2519
346,25-29 år,Hillerød,2024,2951
347,25-29 år,Hørsholm,2024,690
348,25-29 år,Rudersdal,2024,1822
349,25-29 år,Bornholm,2024,1475
350,25-29 år,Christiansø,2024,0
351,25-29 år,Greve,2024,2200
352,25-29 år,Køge,2024,3250
353,25-29 år,Lejre,2024,950
354,25-29 år,Roskilde,2024,4848
355,25-29 år,Solrød,2024,937
356,25-29 år,Faxe,2024,1699
357,25-29 år,Guldborgsund,2024,2696
358,25-29 år,Holbæk,2024,3533
359,25-29 år,Kalundborg,2024,2296
360,25-29 år,Lolland,2024,1623
361,25-29 år,Næstved,2024,4611
362,25-29 år,Odsherred,2024,1144
363,25-29 år,Ringsted,2024,1997
364,25-29 år,Slagelse,2024,5050
365,25-29 år,Sorø,2024,1272
366,25-29 år,Stevns,2024,798
367,25-29 år,Vordingborg,2024,1856
368,25-29 år,Assens,2024,1551
369,25-29 år,Faaborg-Midtfyn,2024,2050
370,25-29 år,Kerteminde,2024,949
371,25-29 år,Langeland,2024,365
372,25-29 år,Middelfart,2024,1583
373,25-29 år,Nordfyns,2024,1220
374,25-29 år,Nyborg,2024,1305
375,25-29 år,Odense,2024,21693
376,25-29 år,Svendborg,2024,2619
377,25-29 år,Ærø,2024,189
378,25-29 år,Billund,2024,1284
379,25-29 år,Esbjerg,2024,7097
380,25-29 år,Fanø,2024,54
381,25-29 år,Fredericia,2024,2868
382,25-29 år,Haderslev,2024,2609
383,25-29 år,Kolding,2024,5625
384,25-29 år,Sønderborg,2024,3296
385,25-29 år,Tønder,2024,1586
386,25-29 år,Varde,2024,2314
387,25-29 år,Vejen,2024,2140
388,25-29 år,Vejle,2024,6813
389,25-29 år,Aabenraa,2024,2544
390,25-29 år,Favrskov,2024,1774
391,25-29 år,Hedensted,2024,2143
392,25-29 år,Horsens,2024,6114
393,25-29 år,Norddjurs,2024,1685
394,25-29 år,Odder,2024,834
395,25-29 år,Randers,2024,5841
396,25-29 år,Samsø,2024,96
397,25-29 år,Silkeborg,2024,4961
398,25-29 år,Skanderborg,2024,1907
399,25-29 år,Syddjurs,2024,1460
400,25-29 år,Aarhus,2024,48496
401,25-29 år,Herning,2024,4908
402,25-29 år,Holstebro,2024,3262
403,25-29 år,Ikast-Brande,2024,2212
404,25-29 år,Lemvig,2024,728
405,25-29 år,Ringkøbing-Skjern,2024,2564
406,25-29 år,Skive,2024,2032
407,25-29 år,Struer,2024,789
408,25-29 år,Viborg,2024,4873
409,25-29 år,Brønderslev,2024,1644
410,25-29 år,Frederikshavn,2024,2384
411,25-29 år,Hjørring,2024,2970
412,25-29 år,Jammerbugt,2024,1577
413,25-29 år,Læsø,2024,62
414,25-29 år,Mariagerfjord,2024,1933
415,25-29 år,Morsø,2024,882
416,25-29 år,Rebild,2024,1180
417,25-29 år,Thisted,2024,1923
418,25-29 år,Vesthimmerlands,2024,1580
419,25-29 år,Aalborg,2024,22252
420,30-34 år,Hele landet,2024,410270
421,30-34 år,Hovedstadskommuner,2024,143842
422,30-34 år,Storbykommuner,2024,63715
423,30-34 år,Provinsbykommuner,2024,87405
424,30-34 år,Oplandskommuner,2024,54071
425,30-34 år,Landkommuner,2024,61237
426,30-34 år,København,2024,78098
427,30-34 år,Frederiksberg,2024,9904
428,30-34 år,Dragør,2024,521
429,30-34 år,Tårnby,2024,2554
430,30-34 år,Albertslund,2024,1780
431,30-34 år,Ballerup,2024,3531
432,30-34 år,Brøndby,2024,3058
433,30-34 år,Gentofte,2024,3604
434,30-34 år,Gladsaxe,2024,4839
435,30-34 år,Glostrup,2024,1922
436,30-34 år,Herlev,2024,1981
437,30-34 år,Hvidovre,2024,3369
438,30-34 år,Høje-Taastrup,2024,4809
439,30-34 år,Ishøj,2024,1754
440,30-34 år,Lyngby-Taarbæk,2024,3261
441,30-34 år,Rødovre,2024,3428
442,30-34 år,Vallensbæk,2024,1376
443,30-34 år,Allerød,2024,1219
444,30-34 år,Egedal,2024,2846
445,30-34 år,Fredensborg,2024,2143
446,30-34 år,Frederikssund,2024,2533
447,30-34 år,Furesø,2024,1979
448,30-34 år,Gribskov,2024,1915
449,30-34 år,Halsnæs,2024,1576
450,30-34 år,Helsingør,2024,3205
451,30-34 år,Hillerød,2024,3480
452,30-34 år,Hørsholm,2024,1005
453,30-34 år,Rudersdal,2024,2335
454,30-34 år,Bornholm,2024,1853
455,30-34 år,Christiansø,2024,2
456,30-34 år,Greve,2024,3206
457,30-34 år,Køge,2024,4047
458,30-34 år,Lejre,2024,1502
459,30-34 år,Roskilde,2024,5304
460,30-34 år,Solrød,2024,1463
461,30-34 år,Faxe,2024,2221
462,30-34 år,Guldborgsund,2024,3174
463,30-34 år,Holbæk,2024,4284
464,30-34 år,Kalundborg,2024,2602
465,30-34 år,Lolland,2024,1777
466,30-34 år,Næstved,2024,5055
467,30-34 år,Odsherred,2024,1377
468,30-34 år,Ringsted,2024,2418
469,30-34 år,Slagelse,2024,5077
470,30-34 år,Sorø,2024,1718
471,30-34 år,Stevns,2024,1153
472,30-34 år,Vordingborg,2024,2209
473,30-34 år,Assens,2024,2199
474,30-34 år,Faaborg-Midtfyn,2024,3011
475,30-34 år,Kerteminde,2024,1233
476,30-34 år,Langeland,2024,434
477,30-34 år,Middelfart,2024,2384
478,30-34 år,Nordfyns,2024,1595
479,30-34 år,Nyborg,2024,1782
480,30-34 år,Odense,2024,16195
481,30-34 år,Svendborg,2024,3259
482,30-34 år,Ærø,2024,210
483,30-34 år,Billund,2024,1541
484,30-34 år,Esbjerg,2024,7509
485,30-34 år,Fanø,2024,89
486,30-34 år,Fredericia,2024,3308
487,30-34 år,Haderslev,2024,3059
488,30-34 år,Kolding,2024,6181
489,30-34 år,Sønderborg,2024,3907
490,30-34 år,Tønder,2024,1874
491,30-34 år,Varde,2024,2786
492,30-34 år,Vejen,2024,2461
493,30-34 år,Vejle,2024,8287
