,mpg,milage,maketype,car_id,region,price,make,type,scrapedate,alder,ccm2,doors,aldercat,navn
443,22.4,0.0,"Ford Puma 1,0 EcoBoost mHEV Titanium 5d",5612930,Vestjylland,294900.0,Ford,Puma,2022-11-08 22:29:38.772658,0,1000.0,5d,veteran,Region Syddanmark
444,18.2,92500.0,"Ford Focus 1,0 SCTi 125 Titanium stc. aut. 5d",5583799,Syd- og Vestsjælland,159900.0,Ford,Focus,2022-11-08 22:29:38.772658,6,1000.0,5d,veteran,Region Sjælland
445,23.3,128000.0,"Ford Fiesta 1,0 SCTi 125 Titanium 5d",5598760,Syd- og Vestsjælland,109800.0,Ford,Fiesta,2022-11-08 22:29:38.772658,5,1000.0,5d,veteran,Region Sjælland
446,22.0,46000.0,"Ford Fiesta 1,0 EcoBoost ST-Line 5d",5612913,Syd- og Vestsjælland,179900.0,Ford,Fiesta,2022-11-08 22:29:38.772658,3,1000.0,5d,veteran,Region Sjælland
447,20.8,47000.0,"Toyota Auris 1,2 T T2 Comfort Touring Sports 5d",5583759,Nordsjælland,179900.0,Toyota,Auris,2022-11-08 22:29:38.772658,5,1200.0,5d,veteran,Region Sjælland
448,26.3,38000.0,"Toyota Aygo 1,0 VVT-i x-cellence 5d",5554344,Vestjylland,94700.0,Toyota,Aygo,2022-11-08 22:29:38.772658,4,1000.0,5d,veteran,Region Syddanmark
449,23.4,32000.0,"Ford Fiesta 1,0 EcoBoost Titanium 5d",5568938,Østjylland,164600.0,Ford,Fiesta,2022-11-08 22:29:38.772658,3,1000.0,5d,veteran,Region Midtjylland
450,20.0,133000.0,"Ford Focus 1,0 SCTi 125 Titanium ECO 5d",5599210,Syd- og Sønderjylland,94900.0,Ford,Focus,2022-11-08 22:29:38.772658,10,1000.0,5d,veteran,Region Syddanmark
451,22.9,38000.0,"Ford Focus 1,0 EcoBoost Titanium stc. 5d",5487671,Syd- og Vestsjælland,229900.0,Ford,Focus,2022-11-08 22:29:38.772658,3,1000.0,5d,veteran,Region Sjælland
452,22.4,29000.0,"Toyota Yaris 1,5 VVT-iE T3 Smart MDS 5d",5553679,København,184900.0,Toyota,Yaris,2022-11-08 22:29:38.772658,2,1500.0,5d,veteran,Region Hovedstaden
453,19.5,10500.0,"Ford Focus 1,0 EcoBoost Titanium X stc. aut. 5d",5537720,København,289900.0,Ford,Focus,2022-11-08 22:29:38.772658,1,1000.0,5d,veteran,Region Hovedstaden
454,20.8,19000.0,"Toyota Yaris 1,5 VVT-iE T2 Premium 5d",5612815,Østjylland,154900.0,Toyota,Yaris,2022-11-08 22:29:38.772658,4,1500.0,5d,veteran,Region Midtjylland
455,28.9,46000.0,"Toyota Aygo 1,0 VVT-i x-clusiv 5d",5612814,Østjylland,94900.0,Toyota,Aygo,2022-11-08 22:29:38.772658,4,1000.0,5d,veteran,Region Midtjylland
456,16.9,64000.0,"Ford Focus 1,6 SCTi 150 Edition 5d",5351063,Syd- og Vestsjælland,124800.0,Ford,Focus,2022-11-08 22:29:38.772658,8,1600.0,5d,veteran,Region Sjælland
457,19.6,111000.0,"Ford Focus 1,0 SCTi 125 Titanium stc. ECO 5d",5598625,,104900.0,Ford,Focus,2022-11-08 22:29:38.772658,9,1000.0,5d,veteran,
458,10.9,202000.0,"Volvo S80 2,5 T Momentum 4d",5560854,Syd- og Vestsjælland,89900.0,Volvo,S80,2022-11-08 22:29:38.772658,14,2500.0,4d,veteran,Region Sjælland
459,10.3,117000.0,"Volvo V70 2,5 T 230 Summum aut. 5d",5568783,Syd- og Vestsjælland,188000.0,Volvo,V70,2022-11-08 22:29:38.772658,11,2500.0,5d,veteran,Region Sjælland
